gpu_name,g3d_mark,tdp,category
GeForce 705M,456,NA,Mobile
GeForce 9800M GTX,454,75,Mobile
Radeon HD 7520G + 7650M Dual,453,NA,Mobile
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,452,NA,Mobile
Radeon HD 8450G + HD 8600M Dual,452,NA,Mobile
Mobility Radeon HD 5650,449,15,Mobile
Radeon HD 7520G + HD 7600M Dual,447,NA,Mobile
GeForce GT 710M,446,NA,Mobile
Radeon HD 7660G + 8600M Dual,446,NA,Mobile
Radeon HD 7620G + HD 8600M Dual,443,NA,Mobile
Radeon HD 7650M,442,20,Mobile
Radeon HD 8570M,441,NA,Mobile
GeForce GT 620M,434,15,Mobile
Radeon HD 7570M,428,13,Mobile
Radeon HD 7600G + 7550M Dual,423,NA,Mobile
Radeon HD 7640G N HD 7640G + HD 8570M Dual,423,NA,Mobile
Radeon HD 8500M,420,NA,Mobile
Radeon R5 M230,413,NA,Mobile
GeForce 810M,411,NA,Mobile
GeForce GTS 350M,408,28,Mobile
Radeon HD 7470M,408,7,Mobile
Radeon HD 7640G + HD 7600M N HD 7600M Dual,407,NA,Mobile
Radeon HD 7600G + 7500M/7600M Dual,406,NA,Mobile
GeForce GT 420M,405,23,Mobile
Mobility Radeon HD 4650,401,NA,Mobile
Radeon HD 7600G + 7450M Dual,390,NA,Mobile
GeForce 8800M GTS,382,50,Mobile
GeForce GT 335M,382,28,Mobile
GeForce 9800M GT,381,65,Mobile
GeForce GTX 260M,379,65,Mobile
Radeon HD 6490M,378,NA,Mobile
Radeon HD 7520G + 8750M Dual,377,NA,Mobile
Radeon HD 7600G + 6400M Dual,377,NA,Mobile
GeForce 9800M GTS,376,75,Mobile
GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,369,NA,Mobile
Mobility Radeon HD 3850,366,NA,Mobile
Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,365,NA,Mobile
Radeon HD 7660G + HD 8600M Dual,364,NA,Mobile
Radeon HD 7500G + HD 7500M/7600M Dual,356,NA,Mobile
Mobility Radeon HD 565v,353,NA,Mobile
Radeon HD 6480M,353,NA,Mobile
Radeon HD 6620G,341,45,Mobile
Radeon HD 7600G + 8500M/8700M Dual,334,NA,Mobile
Radeon HD 7450M,330,7,Mobile
Radeon HD 7600G + HD 7400M Dual,329,NA,Mobile
GeForce 240M GT,320,NA,Mobile
Mobility Radeon HD 560v,318,NA,Mobile
Radeon HD 7520G + 8600/8700M Dual,311,NA,Mobile
